observed_fraction,latent_dim,avg_ks_statistic_mean,avg_wasserstein_distance_mean,correlation_structure_distance_mean,covariance_structure_distance_mean,utility_macro_f1_mean,utility_balanced_accuracy_mean,spd_absolute_gap_mean,runtime_seconds_mean
0.05,12,0.25886811368990925,0.3448341276488242,4.093859867549684,2.885001802035403,0.5980918624827851,0.6021300361273476,0.004522978172852227,0.6047458171844482
0.05,16,0.24616672514913027,0.32942989666530087,2.6456022023856804,2.2120949611630087,0.6137274853431827,0.6231997677534236,0.0060177964533679185,0.7878701686859131
0.05,20,0.24101893160893612,0.3269594317891585,1.7660528222348528,1.7206509911330712,0.6336192337532653,0.6412755875992774,0.004770381917786009,1.0318308830261231
0.05,23,0.23504971009407322,0.31711314645460914,1.2375775864827188,1.454441343492354,0.681279342389111,0.703551341827018,0.004440630189194261,1.2287007808685302
0.1,12,0.26154717180803216,0.3412472422435087,4.070706489767625,2.6850602430971664,0.6002859766638746,0.6051460680044163,0.0057738740151646595,0.5859980583190918
0.1,16,0.2486177399156922,0.3259843171808237,2.628114349771013,1.96793730448717,0.6167508224668656,0.6276261247324842,0.0050106723392974286,0.7682765483856201
0.1,20,0.2426922059368221,0.32360778640238763,1.6956071328969937,1.3937718843568097,0.621454119472828,0.6350387220104072,0.005372522728936286,0.9671966552734375
0.1,23,0.2383963878159338,0.3144502039598842,1.1039462502305597,1.0821982627195226,0.6713703136205006,0.7202712868444492,0.005390790182635841,1.210542917251587
0.2,12,0.26264142706907156,0.34213618684625724,3.9844063234473728,2.5907177457176687,0.6050014483718349,0.6113157538734812,0.011461627743357438,0.5123827934265137
0.2,16,0.24962081076254541,0.3264359585275843,2.5513585812375967,1.855328658355041,0.6062417829806727,0.613842427379117,0.008335030426957334,0.6764370441436768
0.2,20,0.24377720896085084,0.32448954412978814,1.5943145093949693,1.2317997005142638,0.6212800616463905,0.6347334072513703,0.010094645341879404,0.8655041217803955
0.2,23,0.23926821040934976,0.31435511951064626,0.9700485053461744,0.8776500941898489,0.6666191497387262,0.7403544865970602,0.010288606956811563,1.094516897201538
0.3,12,0.2637544504161281,0.3417622813747808,3.9797923985342423,2.5431220978670015,0.6045299478988935,0.6115344660874136,0.005575082535830206,0.4588321685791016
0.3,16,0.2510411139079756,0.32713261092469825,2.534931153047869,1.8085218747489311,0.6029904910905084,0.6099252466186202,0.006254351048073431,0.6849531650543212
0.3,20,0.2445776356668254,0.32486317594187697,1.5846590351381855,1.1725215418545996,0.6195455917581675,0.6330540991008744,0.004416114405763305,1.037248420715332
0.3,23,0.23959861215048645,0.31532665230001033,0.946090036478938,0.8161490108427836,0.6679869310613762,0.7506985230066656,0.004531058479479211,1.2896955966949464
