observed_fraction,latent_dim,avg_ks_statistic_mean,avg_ks_statistic_std,avg_wasserstein_distance_mean,avg_wasserstein_distance_std,correlation_structure_distance_mean,correlation_structure_distance_std,covariance_structure_distance_mean,covariance_structure_distance_std,target_distribution_l1_difference_mean,target_distribution_l1_difference_std,utility_macro_f1_mean,utility_macro_f1_std,utility_balanced_accuracy_mean,utility_balanced_accuracy_std,spd_absolute_gap_mean,spd_absolute_gap_std
0.05,12,0.2588681136899093,0.0007754827780564982,0.3448341276488242,0.0005724068688692247,4.093859867549684,0.0036738971824319087,2.885001802035403,0.0025151354908779064,0.005654418767858016,0.0038852654749354804,0.5980918624827851,0.0020521027128381744,0.6021300361273476,0.0025252519300337697,0.004522978172852227,0.0024816613224156437
0.05,16,0.24616672514913027,0.00044296613473697444,0.32942989666530087,0.0006272364682653069,2.64560220238568,0.00958244581731342,2.2120949611630087,0.006501131751992954,0.008140758935284952,0.0039842761581647046,0.6137274853431827,0.0044244106469590325,0.6231997677534236,0.005552440496552151,0.0060177964533679185,0.002185471596487462
0.05,20,0.24101893160893612,0.0007370086880651074,0.3269594317891585,0.0007901055140608166,1.7660528222348528,0.010401514470535106,1.7206509911330712,0.004302663096002666,0.013634768660083205,0.0053668153045936294,0.6336192337532653,0.009827384639410415,0.6412755875992774,0.004877055498109686,0.004770381917786009,0.002306449016432867
0.05,23,0.23504971009407322,0.0006076411538432278,0.3171131464546092,0.00022993173666550665,1.2375775864827188,0.01000837139596065,1.454441343492354,0.01217064691888646,0.011389042057245983,0.0025823178158380874,0.6812793423891109,0.00314168053933757,0.703551341827018,0.0035965313748274083,0.004440630189194261,0.0023676699828900907
0.1,12,0.26154717180803216,0.0003929898664552972,0.3412472422435087,0.00021425617038447074,4.070706489767625,0.0082636503501662,2.685060243097166,0.004905915666264537,0.008444891264088063,0.002932269692125418,0.6002859766638747,0.0018198201900337888,0.6051460680044163,0.0021977937461100322,0.0057738740151646595,0.0035144504547619092
0.1,16,0.2486177399156922,0.00037469938459760093,0.3259843171808237,0.000701329370528331,2.628114349771013,0.0024062797758316024,1.96793730448717,0.006105331694307869,0.005968569765596082,0.004312498111979528,0.6167508224668656,0.003274223894401435,0.6276261247324842,0.004598562324362312,0.0050106723392974286,0.0035826408667327387
0.1,20,0.2426922059368221,0.0003821553620206784,0.32360778640238763,0.0006973446639897045,1.6956071328969937,0.010183892623805391,1.3937718843568099,0.011693585660288691,0.011217524736758556,0.005870799617876575,0.621454119472828,0.0008398922853535666,0.6350387220104071,0.0008333436396670696,0.005372522728936286,0.002399219806653166
0.1,23,0.2383963878159338,0.00042893960548732497,0.3144502039598842,0.0005886676835926476,1.1039462502305597,0.004721366388820443,1.0821982627195226,0.008176946210816832,0.009799460288904159,0.004181173473146473,0.6713703136205006,0.003652587514657614,0.7202712868444492,0.002814359960899515,0.005390790182635841,0.0025643999566058707
0.2,12,0.26264142706907156,0.0002989687835861665,0.34213618684625724,0.00040255519269195156,3.9844063234473737,0.005551168192223757,2.590717745717669,0.0018938551172422743,0.009452943627596896,0.004127336638008009,0.6050014483718349,0.0008453618747791128,0.6113157538734812,0.0013580195787159192,0.011461627743357438,0.0013776548409855057
0.2,16,0.24962081076254541,0.0008001145479849708,0.3264359585275843,0.0004934165249736281,2.5513585812375963,0.007857954305948694,1.855328658355041,0.007472639626550669,0.011143520447645676,0.003192442552455616,0.6062417829806727,0.0029542857442944846,0.613842427379117,0.004288580982858652,0.008335030426957334,0.004451251217692959
0.2,20,0.2437772089608509,0.0006079677750108073,0.3244895441297882,0.0007696897482022272,1.5943145093949695,0.008293957220732206,1.2317997005142636,0.008074709922424754,0.011143520447645704,0.004644415470480823,0.6212800616463905,0.0004781147290478493,0.6347334072513704,0.0006065711330465593,0.010094645341879404,0.002584233128033077
0.2,23,0.23926821040934976,0.0003776013721672168,0.3143551195106463,0.0005116789415315241,0.9700485053461744,0.01281100857965109,0.8776500941898489,0.016775752426846584,0.010643490683969279,0.005117192289710484,0.6666191497387262,0.00458685895415087,0.7403544865970602,0.0021923567837401187,0.010288606956811563,0.001846470575346058
0.3,12,0.2637544504161281,0.0004387579528719258,0.34176228137478093,0.00032470613407010513,3.9797923985342423,0.00788712365965313,2.5431220978670015,0.003461642945362413,0.009633308388325736,0.004599998834284228,0.6045299478988935,0.0021096148769343534,0.6115344660874136,0.002322938719271555,0.005575082535830206,0.0031543970403875568
0.3,16,0.2510411139079756,0.00018176147316022976,0.32713261092469825,0.00035561397739733707,2.534931153047869,0.005092140462360456,1.8085218747489307,0.005343531744310359,0.007837267841349763,0.0034341997883747294,0.6029904910905085,0.005268661852630163,0.6099252466186202,0.006918297525917691,0.006254351048073431,0.0019489754970194683
0.3,20,0.2445776356668254,0.0006678905067510548,0.3248631759418769,0.0008054153068783557,1.5846590351381853,0.009256991190639503,1.1725215418545996,0.00502766179522169,0.012545071093271645,0.0023760941509428546,0.6195455917581675,0.0007799715353089431,0.6330540991008744,0.0006005480048151198,0.004416114405763305,0.0017623263147619962
0.3,23,0.23959861215048645,0.0005008823316214632,0.31532665230001033,0.0011491562984528958,0.946090036478938,0.011691710933623025,0.8161490108427836,0.009274046816042977,0.011075583373018595,0.004054240983242655,0.6679869310613762,0.003683521176142269,0.7506985230066656,0.003492760322946043,0.004531058479479211,0.001979123478034946
