feature,standardized_variance
cycle,1.0000476258513127
arthritis_type,1.0000476258513127
BMI,1.0000476258513125
arthritis,1.0000476258513125
total_cholesterol,1.0000476258513125
upper_limb_difficulty,1.0000476258513125
MET_min_week,1.0000476258513125
HDL,1.0000476258513122
sedentary_minutes_day,1.0000476258513122
polypharmacy,1.0000476258513122
mean_SBP,1.0000476258513122
age,1.0000476258513122
education,1.0000476258513122
max_grip_strength,1.0000476258513122
HbA1c,1.0000476258513122
PHQ9_category,1.000047625851312
height_cm,1.000047625851312
smoking_status,1.000047625851312
race_ethnicity,1.000047625851312
adl_difficulty,1.000047625851312
weight_kg,1.000047625851312
mean_DBP,1.000047625851312
meets_activity_guideline,1.000047625851312
PHQ9_score,1.000047625851312
triglycerides,1.000047625851312
LDL,1.000047625851312
medication_count,1.000047625851312
sex,1.0000476258513118
income_poverty_ratio,1.0000476258513118
fasting_glucose,1.0000476258513118
