feature,mutual_information_with_target
adl_difficulty,0.5040648478612137
upper_limb_difficulty,0.3237238643893532
weight_kg,0.09670478893229806
LDL,0.06376210152477713
medication_count,0.060948971997654144
PHQ9_score,0.059294958671941345
BMI,0.05801959190494843
arthritis,0.05084009798455247
income_poverty_ratio,0.05005575709630117
max_grip_strength,0.048085033782137465
height_cm,0.04513696244084375
polypharmacy,0.04024304182512095
age,0.03876353420360523
PHQ9_category,0.02927462158392924
triglycerides,0.029039860359641345
MET_min_week,0.026802383816081576
total_cholesterol,0.026440299971303816
fasting_glucose,0.025280973295154663
mean_SBP,0.017984361295826812
HDL,0.016858661715257295
mean_DBP,0.015021250219946936
sedentary_minutes_day,0.014666995686194007
arthritis_type,0.014642963145463206
sex,0.013429286358682901
cycle,0.0098503301105195
education,0.006919705250874042
meets_activity_guideline,0.006592041821571026
smoking_status,0.0029669950553259383
HbA1c,0.00265070863167427
race_ethnicity,0.0016912797992616468
