,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
cycle,0.026165549526306866,0.008427584306745561,-0.02040439985324157,-0.0002268138936502812,0.025988448296556013,0.1721450981764815,0.2583982937933351,-0.18148405460254188,0.11565738483682352,-0.06220773970680737
upper_limb_difficulty,0.274077917404443,-0.11233815005888165,0.11843821564528347,-0.1037982746762832,0.015322146408702733,-0.0656677808543279,0.1870884597306488,-0.15154614830145946,-0.13527807883265627,-0.15827773821312605
adl_difficulty,0.26346612434698635,-0.028492322347388535,0.0930124227669692,-0.08481131152790725,-0.005960990727654982,-0.1000433897540773,0.1884251139984016,-0.16059741013105155,-0.13807182376334376,-0.25570227125075123
age,0.03690788338130405,-0.2421111439266203,-0.3369069310226454,0.0703639056200335,0.07931199721491367,-0.11838312383257829,0.18725799685210637,0.06663421403076822,-0.0318893007126977,-0.18477789589954646
sex,0.061521144583866906,-0.3700498782759773,0.18348951309991163,0.05137972395242375,0.16175069399813763,0.27987062970745297,-0.16893323795079668,-0.014509394186724344,0.14101522753486642,0.14626375096462155
race_ethnicity,-0.007188109835126587,0.0900292189564414,-0.06239142350430987,-0.13408445067677957,0.3419826050509616,-0.14368518608705205,0.06465714228979726,0.25654703310388527,0.19103786128227485,0.19169156651167593
education,-0.05805137407167109,0.11171071426259892,-0.022191368847839704,-0.06737617822669482,0.3813513498256589,0.1196909099792083,-0.016417401346829157,0.3363007423307893,0.12861642251583144,0.12921751392993333
income_poverty_ratio,-0.07606687401532944,0.008157768221740724,-0.14431398921268543,0.006391158120310507,0.2360292531525794,0.13856363882573539,-0.0034833086120343365,0.2553904969090265,0.05234691312518676,-0.10908708846059849
BMI,0.272241973750702,0.19078490993140554,0.03777332245143833,0.2103065814456842,0.2681951927649215,0.2567082666123794,-0.2721459799229341,-0.30182411999740083,0.07136864943496597,-0.06614389744285452
height_cm,-0.03891695522698123,0.45459756486455716,-0.10001862667510154,-0.08213175074105857,0.037579937691439795,-0.22900017380963408,0.09796303240188164,0.10854902889236294,-0.0918826427992306,-0.04129295468746303
weight_kg,0.22745208224583946,0.37965108481969473,-0.013568565158613866,0.156732243012417,0.26128559988349487,0.12447461559268122,-0.20031663391481788,-0.22327694156208802,0.025380644724758573,-0.07996541569500978
mean_SBP,0.004007667390737709,-0.09942207118539056,-0.09329087004749735,0.20695362927771851,0.14318536253213604,-0.24615413742683814,0.35464464245052024,-0.21989268110266147,0.4147523256113802,-0.03206389014130196
mean_DBP,-0.05843420850282023,0.12882466805643986,0.1433985160532516,0.15302343590969625,0.14542111839320856,-0.21987677489969423,0.25999304582304256,-0.2622732530896829,0.4072259842174082,0.09826993399855201
max_grip_strength,-0.081571040886131,0.41821979161745465,-0.009897032358846179,-0.014295943449637293,0.0007710885579358779,-0.09361411280240578,0.08366529077496665,0.014482854086802636,-0.0909059887839674,-0.027952705788768118
HbA1c,0.21654750414879112,0.01856555514801621,-0.16961695209169608,0.3990472091623366,-0.24154134389678514,0.07387095294647894,0.07569407588643527,0.2140250821522075,0.1022205473482997,0.1839716112321248
fasting_glucose,0.19412110353256556,0.04408776425331735,-0.14095807307369987,0.4235905253617401,-0.24476740547163284,0.06304395259067556,0.09408351573851409,0.23248350437537565,0.08922885038229941,0.2200163108691108
total_cholesterol,-0.12680843498273867,-0.1025747560581024,0.3538984173021884,0.37148766845497544,0.22272010679941498,-0.10794157293277568,0.09476176330644272,0.19472268485383717,-0.21068352326008677,-0.15836030212451274
HDL,-0.15113622834187712,-0.24108576776168586,0.07403878802496004,-0.14985184498467607,0.2090223927879784,0.014953207747359414,0.13944254542193935,0.11074091352170583,0.13701464740614946,0.05200866554216947
triglycerides,0.023071764336185685,0.042095836653656946,0.17524406588734964,0.3919635077649636,-0.007776459297739687,-0.08141110495880718,-0.004267010676510252,0.16578037125173473,-0.19023827037354543,0.022355072389374966
LDL,-0.10819709814328665,-0.05020508118168971,0.27997607722128576,0.24124447376958388,0.20498423817732048,-0.08403854789517028,0.0725217088784229,0.09000411289964659,-0.23146665115371964,-0.3032070039091001
smoking_status,0.048571644791850756,0.16356094097715665,0.1086031757850955,-0.13604053321667947,-0.08616515412652712,-0.24767414195735898,0.14881445795450998,0.09014734761848028,-0.13732571273995323,0.1589528668878682
MET_min_week,-0.10137745820206248,0.1674834289474683,0.09533727064214696,-0.05848016122900496,-0.08314994646671428,0.4523829314104222,0.34485272908376496,0.06091695410981443,0.005973682344960745,-0.12078549042963618
meets_activity_guideline,-0.12493796170419627,0.17638834968205636,0.07159286988101417,-0.05976461135749897,-0.011276950624315742,0.46974217047086797,0.32687167695093755,0.11133008165183608,0.020707519476178403,-0.08775953807679658
sedentary_minutes_day,0.1247879308273287,0.04041793409864215,-0.03386069185009515,-0.0707200084382214,0.22848249485057298,-0.16585829389521117,-0.2584341091713081,0.18038152142669123,0.05454289140506262,-0.01534544643645383
PHQ9_score,0.28103182683201844,0.03865593062869608,0.43611039529591816,-0.15703395391367314,-0.14540844112046208,-0.04083395693214962,-0.008136362676271706,0.16225571399664296,0.21225676541773197,0.04340745877339674
PHQ9_category,0.26865551163984064,0.045381933059688226,0.43208307434500354,-0.14905387356038838,-0.14600692704386198,-0.0390508890705882,-0.0059307639479997554,0.17041485041646304,0.22811320467382298,0.04624993703189534
arthritis,0.24330858419844711,-0.09776014002195339,-0.007521668533653829,-0.056534583469863564,0.2622127205122143,0.06037872354312209,0.20265049157339743,-0.08602779069676608,-0.302101635044837,0.28417382373435607
arthritis_type,0.12048813912632148,-0.01784693147687303,0.011074851076900222,-0.037689027377685036,0.1612123765811003,0.040935483759182226,0.2180385982381487,-0.14444910373996958,-0.36081928685847664,0.5720810485852684
medication_count,0.39933055394391864,-0.054370690904297435,-0.18696439816833044,-0.09548941625152538,0.06333503900009163,0.009919152769695405,0.09113361260340179,0.1861132895937836,-0.008884980832391955,-0.20926370333384708
polypharmacy,0.37294352665715047,-0.05050308391966177,-0.18946911060223845,-0.08843570303502249,0.06110842545824132,0.01510379222308214,0.10247855941953357,0.1969050301335467,-0.00477576965021803,-0.23402273977910124
